date,begin,end,isprod
2022-05-06,2022-05-06 23:10:00,2022-05-06 23:15:00,0
2022-05-06,2022-05-06 22:35:00,2022-05-06 23:10:00,2
2022-05-06,2022-05-06 22:02:00,2022-05-06 22:35:00,2
2022-05-06,2022-05-06 20:44:00,2022-05-06 21:59:00,0
2022-05-06,2022-05-06 20:27:00,2022-05-06 20:44:00,1
2022-05-06,2022-05-06 20:20:00,2022-05-06 20:27:00,0
2022-05-06,2022-05-06 20:04:00,2022-05-06 20:20:00,1
2022-05-06,2022-05-06 19:51:00,2022-05-06 20:04:00,0
2022-05-06,2022-05-06 19:36:00,2022-05-06 19:51:00,1
2022-05-06,2022-05-06 19:23:00,2022-05-06 19:36:00,0
2022-05-06,2022-05-06 18:42:00,2022-05-06 19:23:00,1
2022-05-06,2022-05-06 17:55:00,2022-05-06 18:42:00,0
2022-05-06,2022-05-06 17:39:00,2022-05-06 17:54:00,1
2022-05-06,2022-05-06 17:30:00,2022-05-06 17:39:00,2
2022-05-06,2022-05-06 17:14:00,2022-05-06 17:30:00,2
2022-05-06,2022-05-06 16:52:00,2022-05-06 17:14:00,0
2022-05-06,2022-05-06 15:29:00,2022-05-06 16:52:00,1
2022-05-06,2022-05-06 15:10:00,2022-05-06 15:29:00,0
2022-05-06,2022-05-06 14:38:00,2022-05-06 15:10:00,0
2022-05-06,2022-05-06 14:35:00,2022-05-06 14:38:00,2
2022-05-06,2022-05-06 14:33:00,2022-05-06 14:35:00,2
2022-05-06,2022-05-06 14:26:00,2022-05-06 14:33:00,2
2022-05-06,2022-05-06 14:14:00,2022-05-06 14:26:00,2
2022-05-06,2022-05-06 14:04:00,2022-05-06 14:13:00,2
2022-05-06,2022-05-06 13:20:00,2022-05-06 14:04:00,1
2022-05-06,2022-05-06 13:14:00,2022-05-06 13:20:00,1
2022-05-06,2022-05-06 13:09:00,2022-05-06 13:14:00,2
2022-05-06,2022-05-06 13:05:00,2022-05-06 13:09:00,2
2022-05-06,2022-05-06 12:50:00,2022-05-06 13:05:00,2
2022-05-06,2022-05-06 12:27:00,2022-05-06 12:50:00,2
2022-05-06,2022-05-06 12:20:00,2022-05-06 12:27:00,2
2022-05-06,2022-05-06 11:57:00,2022-05-06 12:20:00,2
2022-05-06,2022-05-06 11:55:00,2022-05-06 11:57:00,1
2022-05-06,2022-05-06 11:48:00,2022-05-06 11:55:00,2
2022-05-06,2022-05-06 11:26:00,2022-05-06 11:48:00,1
2022-05-06,2022-05-06 02:55:00,2022-05-06 03:10:00,2
2022-05-06,2022-05-06 02:49:00,2022-05-06 02:55:00,2
2022-05-06,2022-05-06 02:09:00,2022-05-06 02:49:00,1
2022-05-06,2022-05-06 02:00:00,2022-05-06 02:08:00,2
2022-05-05,2022-05-05 23:25:00,2022-05-06 01:59:00,0
2022-05-05,2022-05-05 23:13:00,2022-05-05 23:25:00,1
2022-05-05,2022-05-05 22:04:00,2022-05-05 23:13:00,1
2022-05-05,2022-05-05 18:53:00,2022-05-05 21:06:00,1
2022-05-05,2022-05-05 18:27:00,2022-05-05 18:49:00,1
2022-05-05,2022-05-05 17:52:00,2022-05-05 18:27:00,1
2022-05-05,2022-05-05 17:37:00,2022-05-05 17:52:00,0
2022-05-05,2022-05-05 16:53:00,2022-05-05 17:37:00,0
2022-05-05,2022-05-05 16:47:00,2022-05-05 16:53:00,2
2022-05-05,2022-05-05 16:35:00,2022-05-05 16:47:00,2
2022-05-05,2022-05-05 16:19:00,2022-05-05 16:34:00,2
2022-05-05,2022-05-05 16:04:00,2022-05-05 16:19:00,1
2022-05-05,2022-05-05 15:45:00,2022-05-05 15:54:00,2
2022-05-05,2022-05-05 15:34:00,2022-05-05 15:45:00,2
2022-05-05,2022-05-05 14:21:00,2022-05-05 15:34:00,2
2022-05-05,2022-05-05 13:42:00,2022-05-05 14:21:00,0
2022-05-05,2022-05-05 13:00:00,2022-05-05 13:42:00,2
2022-05-05,2022-05-05 12:56:00,2022-05-05 13:00:00,2
2022-05-05,2022-05-05 12:53:00,2022-05-05 12:56:00,2
2022-05-05,2022-05-05 12:21:00,2022-05-05 12:56:00,1
2022-05-05,2022-05-05 11:39:00,2022-05-05 12:21:00,2
2022-05-05,2022-05-05 11:30:00,2022-05-05 11:39:00,1
2022-05-05,2022-05-05 10:00:00,2022-05-05 11:30:00,1
2022-05-05,2022-05-05 09:40:00,2022-05-05 10:00:00,2
2022-05-05,2022-05-05 09:10:00,2022-05-05 09:40:00,2
2022-05-05,2022-05-05 00:40:00,2022-05-05 01:11:00,0
2022-05-05,2022-05-05 00:00:00,2022-05-05 00:40:00,2
2022-05-04,2022-05-04 23:47:00,2022-05-04 23:59:00,0
2022-05-04,2022-05-04 23:35:00,2022-05-04 23:46:00,1
2022-05-04,2022-05-04 22:53:00,2022-05-04 23:35:00,1
2022-05-04,2022-05-04 22:33:00,2022-05-04 22:53:00,0
